,Bankruptcy Score_f_mean,Contrarian_f_mean,Dividend_f_mean,Earning Momentum_f_mean,Earnings Quality_f_mean,Financial Quality_f_mean,Growth_f_mean,Information Uncertainty_f_mean,Investment_f_mean,Leverage_f_mean,Liquidity_f_mean,Momentum_f_mean,Size_f_mean,Value_f_mean,V1_f_mean,sector_centralization,Return,SD,Sharpe,MinReturn,MaxReturn,UpsideFrequency,UpCapture,DownCapture,UpNumber,DownNumber,UpPercent,DownPercent,AverageDrawdown.Factor,maxDrawdown,TrackingError,PainIndex.Factor,AverageLength.Factor,AverageRecovery.Factor,CDD,VaR.Factor,CVaR.Factor,Alpha,Beta,Beta.Bull,Beta.Bear,turnover,cpi_beta,cpi_beta.bull,cpi_beta.bear,realrate_beta,realrate_beta.bull,realrate_beta.bear
Liquidity_f_mean,-0.1298688101103157,-0.19537615678396486,-0.3121489907898525,-0.03664008735798517,0.0478381472222186,0.10904829186684759,0.26338895540470103,0.4334385177402041,0.3703898524434318,-0.08648880861545344,1.0,0.07009927310428332,-0.6452106363793201,0.2887839433451512,0.36469339301488296,0.2698080000075082,0.28989374645232413,0.8732364177626853,-0.6107771848792701,-0.7999326400432921,0.6278811007515116,-0.32900415831667634,0.8773550941570177,0.7888865718273583,-0.43386905162147227,0.0060606916221087655,0.612247963369417,-0.6366149801562276,0.5843704813601269,0.6707284159378422,0.7770143821611974,0.49643407629434466,0.3470954030080252,0.2023994243912824,0.4573260970073272,-0.8537481130952587,-0.8089365917220593,-0.376369436007742,0.8569933055755128,0.6043224137212828,0.7336077321121155,0.18487060978474942,0.4772683346680224,-0.6716049339565318,0.3376004282117329,0.24550318979853883,0.36026403773729154,0.5815526087599969
Momentum_f_mean,-0.24743031179937786,-0.9758223849211666,-0.61884502085574,0.7030617796238311,0.386110394223158,0.15554379901821702,0.5141870958190651,-0.09647030712535655,0.19846371797907728,-0.15318872818226642,0.07009927310428332,1.0,0.09405839666634937,-0.42864940005980984,-0.4509945067299749,0.39019378332978855,0.03032182822808968,-0.21333348924881373,0.15778329454035095,-0.1537470571543897,-0.3346998453225983,-0.045537849822135795,-0.11295915397649516,-0.13422327014314964,0.18544785255164906,0.24806156775266366,-0.05971680938522289,-0.008078282151654525,-0.3067234142687888,-0.06298140363416421,-0.20910057606362506,0.02585188706287291,-0.17266414901558727,-0.027782972433237747,-0.4422826505534844,0.15662437961239414,-0.012149894377615066,0.16252222295337856,-0.20292625687003035,-0.3921245840290215,-0.11680205954104754,0.15785229690019656,-0.3584136476335357,0.02973842372882926,-0.22196173099709107,-0.21368747565869362,-0.3917032940708306,-0.32433047636214235
Size_f_mean,-0.26346500013671986,-0.059076282068440025,-0.05362290496277195,0.10475050965653805,0.28564908189543803,0.2745499805655381,0.1271706611776447,-0.08562198345385821,0.13748061990924038,-0.2690818475729256,-0.6452106363793201,0.09405839666634937,1.0,-0.2136814884362512,-0.5005253923125588,0.21330702908675622,-0.32223668269011685,-0.608061050928983,0.33676939528138455,0.41862089176876827,-0.545909573649571,0.07318250549546233,-0.6070801260619079,-0.4278018843027133,0.337076168486307,0.24090760510544607,-0.45157187086307493,0.34377991895777343,-0.47677956742190297,-0.401002246622611,-0.707342901282462,-0.28116703581237124,-0.24690991950821461,-0.06983836115647646,-0.47431878438343134,0.5442692823695426,0.4981066712716303,0.08624683336873634,-0.5083373171875666,-0.40819971833243085,-0.3583475724618245,-0.49517969297432785,-0.3521973582729659,0.41995662427064767,-0.3581486351699743,-0.3643508039512968,-0.382474228699669,-0.46501191370704487
Value_f_mean,-0.049146428206410936,0.37310640136610757,0.19321302295144677,-0.371133805950109,-0.19409258696563433,0.2376689158513557,-0.010870987068244648,0.14746486883858198,-0.17721718459084218,-0.25559196057419875,0.2887839433451512,-0.42864940005980984,-0.2136814884362512,1.0,0.40829638030222615,-0.06073769935103093,-0.06433347846524252,0.492711940138393,-0.4537853825599945,-0.3157715154916393,0.4580079289618694,-0.0855150900019683,0.32511155485363985,0.40383677089906883,-0.36246865260003835,-0.24987350903004377,0.21373891804723066,-0.1778337011256553,0.6229271851020847,0.3049729175286063,0.4671334010997496,0.3096495555711551,0.5729014337553343,0.37503110996766187,0.6735905482807358,-0.5035059700043337,-0.4425352414087989,-0.36650856565291234,0.46317062716145996,0.4676168414263744,0.45860440158473625,0.007346410694481654,0.6058390211680296,-0.22544161855959327,0.10431332065090687,0.35523434165861323,0.49147107812127094,0.4182885592720065
V1_f_mean,0.287695030447845,0.39759703094562254,0.174146041859004,-0.1900888811075951,-0.4162539378524881,-0.12977026547179196,-0.21068207745564532,0.20211378384001633,-0.14693251560900897,0.11536050018980956,0.36469339301488296,-0.4509945067299749,-0.5005253923125588,0.40829638030222615,1.0,-0.26330752099573407,-0.05386442195578066,0.5357889420737161,-0.4661541107995323,-0.3940148610914726,0.4496281121631802,-0.1262411749131108,0.38386838770029585,0.46859507109487036,-0.3044458688603326,-0.13660982441613098,0.20735017260378258,-0.3393575198966295,0.5401339213422615,0.4090824795688111,0.575306563176239,0.372622468230583,0.41848328991269396,0.257423634259044,0.5370073443587653,-0.5355196260528777,-0.4803090303757012,-0.36073532268799285,0.4781194157740868,0.4009875935823505,0.4105736959803048,0.3189784056717431,0.4672781095948668,-0.21774665695630735,0.26045396469619886,0.35515903834813156,0.44806820755812915,0.49601682361147575
sector_centralization,-0.7330276222408277,-0.4691928700984668,-0.6045735933881845,0.3907907881291339,0.6156838708713767,0.666817690913857,0.6242440205947003,0.017484171241325407,0.6424397408693906,-0.6385851910833374,0.2698080000075082,0.39019378332978855,0.21330702908675622,-0.06073769935103093,-0.26330752099573407,1.0,0.07414142228004668,0.0765394260140285,-0.06728789463681685,-0.3488806546813869,-0.11293375265613478,-0.2561513499526495,0.17896234293235241,0.18060623487637043,-0.06153270204914672,0.2829198137936062,0.2267706671991151,-0.19341542863129985,-0.10796158154241893,0.04786399723649892,-0.05451825315597516,0.09206334747143062,-0.1358528751110124,-0.10001412140073855,-0.15955968815526692,-0.13543333860617163,-0.22108777823149792,-0.055265934100002384,0.13585212385726272,-0.007525301495661773,0.07841862095557008,-0.15553647625186004,-0.2626993524726033,-0.2523516085697617,-0.24916542153745988,-0.42409232889663395,-0.4104764907773809,-0.22372386252220083
Return,-0.049051312208752605,-0.06515976400263795,-0.023772151128095872,-0.15394287888892344,0.0969582757327323,-0.10355505610010796,-0.013818722096107091,-0.11855778196060204,0.3696897074281146,0.12391884958591262,0.28989374645232413,0.03032182822808968,-0.32223668269011685,-0.06433347846524252,-0.05386442195578066,0.07414142228004668,1.0,0.10919106376993,0.48299453467423475,-0.0161844571762058,0.17118497894541415,0.22495993786998064,0.5494409150777629,-0.16440606908503336,0.11363223088123717,-0.18845826913912983,0.5466365962971957,0.1158413573180659,-0.13084548494532022,-0.154627894511787,0.11467039162437839,-0.44531163597255996,-0.32649353922360497,-0.446913303181535,-0.143642543964012,0.06920737427486089,0.042909486235506875,0.7022324540032063,0.0997168709739766,0.12170770927501637,-0.009505436379478063,-0.1041120398397792,-0.09484330971354422,-0.20663547708474633,-0.007950635076836729,-0.11591329847190494,0.06449179346105985,-0.027860550112860646
SD,0.08600294417743694,0.11254339499124638,0.023956979010339784,-0.32083800402201007,-0.2660215329072802,0.00611722320522036,-0.012144066962817819,0.5648119133722317,0.06264866502928375,-0.0026698598394519837,0.8732364177626853,-0.21333348924881373,-0.608061050928983,0.492711940138393,0.5357889420737161,0.0765394260140285,0.10919106376993,1.0,-0.800968222987169,-0.7275370176535014,0.8465692548974783,-0.3611807117380149,0.8590937046800146,0.8962737322619728,-0.5843529648810755,-0.1021562813912244,0.5193019874767463,-0.6554399899668626,0.7904906686291345,0.8554267975347687,0.907125883640531,0.7030276504254895,0.5712686516790032,0.40204013581013726,0.7238974046686911,-0.9617898662653483,-0.8440522913024149,-0.5935256120578684,0.9723750407661901,0.8317588608820803,0.8322025760631294,0.15779326469404004,0.7542132647297768,-0.7023178882725531,0.5858680119197771,0.5446207499116887,0.5730192786518409,0.8339450994784564
Sharpe,-0.06652621679477949,-0.08574404667792987,0.012006069467659388,0.1358244046224794,0.24039312519262998,-0.087858695139867,-0.052939147987199925,-0.5487875876021456,0.12153506029396188,0.09378720439162638,-0.6107771848792701,0.15778329454035095,0.33676939528138455,-0.4537853825599945,-0.4661541107995323,-0.06728789463681685,0.48299453467423475,-0.800968222987169,1.0,0.6556247950242895,-0.6072367767159431,0.46162787126054794,-0.44016910626145067,-0.8961186473209412,0.5511475827249059,-0.06652488672439748,-0.16537735629733283,0.6736201188502545,-0.7439015846871257,-0.8330548035069293,-0.6868546338137578,-0.8619030709559047,-0.6615513394272026,-0.6010284532552005,-0.6784719201665241,0.8866620596326088,0.7810599738090409,0.9336322610953847,-0.7956952757869511,-0.6269460890030694,-0.7391421638841068,-0.17956370326633192,-0.6898440602827123,0.4988681464815125,-0.4892826340614204,-0.5021197323291797,-0.41909584150414403,-0.7170936393480905
MinReturn,0.23630742849516456,0.293606845865296,0.4499950916486544,-0.1994341258510594,-0.197294143802032,-0.23841499371524807,-0.46327390364029236,-0.369137097803112,-0.3545117084032509,0.22064247545385313,-0.7999326400432921,-0.1537470571543897,0.41862089176876827,-0.3157715154916393,-0.3940148610914726,-0.3488806546813869,-0.0161844571762058,-0.7275370176535014,0.6556247950242895,1.0,-0.37000794509351764,0.25586984785018047,-0.6426330712568283,-0.7373617926477922,0.28830678327073844,-0.05417563379194156,-0.435364718465517,0.5547994384462756,-0.542207487570238,-0.643428850821192,-0.6151833874065158,-0.5492204101948315,-0.4193558970668385,-0.36292755257782827,-0.38717447626622586,0.8299024450309179,0.9454351630783925,0.5015357159597013,-0.732133890552186,-0.36755335263170386,-0.7870632678496424,-0.13359786105829097,-0.41896283715193355,0.4986477117105125,-0.13165202279272398,-0.07539241112366543,-0.258327875478573,-0.38367047961500916
