,Contrarian,Earning Momentum,Earnings Quality,Financial Quality,Growth,Information Certainty,Information Uncertainty,Investment,Large Cap,Leverage,Market Interest,Momentum,Short Duration,Stagnation,Value,Return,SD,Sharpe,MinReturn,MaxReturn,UpsideFrequency,UpCapture,DownCapture,UpNumber,DownNumber,UpPercent,DownPercent,AverageDrawdown.Factor,maxDrawdown,TrackingError,PainIndex.Factor,AverageLength.Factor,AverageRecovery.Factor,CDD,VaR.Factor,CVaR.Factor,Alpha,Beta,Beta.Bull,Beta.Bear,Value,Dividend,Momentum,Liquidity,Leverage,Size,Investment,Information.Uncertainty,Growth,Financial.Quality,Earnings.Quality,Earning.Momentum,Contrarian,Bankruptcy.Score,Cyclical.Consumer.Goods...Services,Financials,Utilities,Consumer.Non.Cyclicals,Technology,Healthcare,Industrials,Energy,Basic.Materials,Real.Estate,Academic...Educational.Services
1307,0,0,0,0.5,0,0,0,0,0,0.25,0.25,0,0,0,0,0.10614236,0.108353711,0.979591363,-0.1791,0.1312,0.697368421,1.002324792,0.744540325,0.962962963,0.954545455,0.537037037,0.681818182,0.051279718,0.296325929,0.041253411,0.029508997,3.2,1.733333333,0.080099398,-0.073265563,-0.114118886,0.007380947,0.85128088,0.849978921,0.758868017,-0.007485654,0.049175455,0.084575922,-0.396638357,-0.142660448,0.573615497,0.082314988,-0.00819582,0.099225384,0.076889676,0.18854917,0.143144871,-0.042987114,-0.346274381,0.118461538,0.148461538,0.000769231,0.162820513,0.142307692,0.186153846,0.125897436,0.056153846,0.023076923,0.005384615,0
2595,0.25,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0.11021338,0.10878192,1.013158989,-0.1847,0.1157,0.723684211,0.999261901,0.670701886,0.925925926,0.772727273,0.555555556,0.727272727,0.055398222,0.296485813,0.054557839,0.030598135,3.307692308,1.846153846,0.116637408,-0.07557565,-0.12140191,0.009322907,0.810349079,0.7217808,0.800002641,-0.020331988,0.291707526,-0.142574303,-0.327084976,0.065552972,0.166828247,0.02048457,-0.27861026,-0.027481669,-0.023317853,0.036506006,0.005471565,0.130849556,0.002185875,0.087948718,0.104102564,0.107692308,0.185384615,0.083076923,0.17,0.168974359,0.004102564,0.036923077,0.017179487,0
2777,0.25,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0.104206462,0.10852237,0.96023024,-0.1721,0.1306,0.723684211,0.975025898,0.704273347,0.925925926,0.772727273,0.462962963,0.772727273,0.057326018,0.297389912,0.048449098,0.029248465,3.214285714,1.714285714,0.09468413,-0.074771512,-0.110629659,0.007426105,0.830280913,0.785794795,0.831454656,0.003724328,0.328885911,-0.228011974,-0.341020891,-0.014794171,0.508773001,0.222734773,-0.008505092,0.014549275,0.008505334,0.203362744,0.014985546,0.160004444,-0.273707858,0.076923077,0.025641026,0.042820513,0.186923077,0.18025641,0.192820513,0.134871795,0.074615385,0.035897436,0.027948718,0
903,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0.25,0,0.11418429,0.10757169,1.061471564,-0.171,0.1181,0.763157895,1.029048971,0.688336854,0.981481481,0.772727273,0.537037037,0.681818182,0.059159483,0.297646451,0.03878688,0.025674421,3.25,1.75,0.074695815,-0.071525991,-0.108786166,0.009225341,0.851999246,0.854488332,0.809087046,-0.052244362,0.066940752,0.121913865,-0.314230055,-0.016807915,0.693423293,0.062113081,-0.161860511,0.076053597,0.013917315,0.126141203,0.239931424,-0.045053429,-0.077693277,0.148461538,0.086410256,0.029230769,0.174358974,0.157692308,0.181282051,0.143589744,0.013589744,0.028461538,0.013589744,0
2794,0.25,0,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0.107122654,0.106972153,1.001406914,-0.1755,0.1183,0.75,0.984949639,0.686423377,0.962962963,0.772727273,0.481481481,0.772727273,0.060560852,0.298315258,0.047206961,0.030515984,3.416666667,2,0.106200111,-0.073381631,-0.113358509,0.008252155,0.82261761,0.764150417,0.823944359,-0.031684326,0.274824299,-0.163361091,-0.376293632,0.030036211,0.3497782,0.07387943,-0.172834332,0.012829876,-0.006757597,0.165655748,0.033710478,0.13705553,-0.190811124,0.091282051,0.086153846,0.053076923,0.230769231,0.111794872,0.171794872,0.171538462,0.016666667,0.032051282,0.014871795,0
3044,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.103873184,0.127143721,0.816974549,-0.2036,0.175,0.697368421,1.070210213,0.917278887,0.925925926,0.863636364,0.62962963,0.5,0.068845731,0.299339357,0.054348376,0.033151551,3.4,1.8,0.116685463,-0.089521351,-0.135868884,0.004790166,0.963072993,1.006279209,0.795605192,0.033548195,0.172167018,-0.45959522,-0.122279766,-0.01651477,0.078382513,0.104974719,-0.015280234,0.021328978,0.01172675,0.17966496,0.394348664,0.304733628,-0.221329029,0.142051282,0.07,0.027179487,0.160512821,0.151794872,0.155128205,0.172051282,0.032820513,0.040512821,0.025128205,0.000769231
2578,0.25,0,0,0,0,0.25,0,0.25,0,0,0.25,0,0,0,0,0.11071861,0.10648062,1.039800576,-0.1778,0.117,0.736842105,0.973121023,0.599956306,0.925925926,0.727272727,0.555555556,0.772727273,0.063230904,0.300798631,0.056515751,0.030996637,3.727272727,2,0.122486253,-0.072644214,-0.118149413,0.009957349,0.785458359,0.713291516,0.842722514,0.003342805,0.43452861,-0.209588077,-0.341146135,0.072425203,0.275914238,0.122984872,-0.188328508,-0.052990467,-0.028360431,0.039532698,-0.021259065,0.171191528,-0.034921669,0.075384615,0.02974359,0.127692308,0.172051282,0.115384615,0.186923077,0.159230769,0.022820513,0.046666667,0.029230769,0
1742,0,0,0.5,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0.115413288,0.10676143,1.081039171,-0.1723,0.1303,0.763157895,1.016789125,0.639267887,0.981481481,0.772727273,0.5,0.772727273,0.051817645,0.301125409,0.03943726,0.02682816,3.076923077,1.769230769,0.074030022,-0.069105962,-0.110802671,0.009670197,0.84412469,0.891580296,0.835423476,-0.067208616,0.358225495,0.066405453,-0.379566737,0.030811059,0.509830387,0.06603141,-0.000406752,0.035158558,-0.000817921,0.301410066,0.12341725,-0.025682052,-0.326550471,0.074102564,0.125897436,0.007948718,0.252820513,0.15,0.146410256,0.158205128,0.02974359,0.025897436,0.016153846,0
2827,0.25,0,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0.107955282,0.110427379,0.977613373,-0.1821,0.1343,0.736842105,1.010606778,0.733329858,0.962962963,0.818181818,0.5,0.681818182,0.054469828,0.303649567,0.043025049,0.02911015,3.071428571,1.714285714,0.075743827,-0.075086502,-0.115373017,0.007614548,0.861969251,0.847037094,0.828517149,-0.04259435,0.197546677,-0.13486645,-0.342989731,-0.035493083,0.449644972,0.114152721,-0.009250538,0.053560743,0.020876422,0.316885376,0.064569907,0.091693906,-0.367674733,0.101538462,0.072564103,0.00974359,0.228974359,0.165897436,0.159487179,0.146410256,0.06025641,0.023589744,0.017692308,0
1051,0,0,0,0.25,0,0,0,0,0,0.25,0.5,0,0,0,0,0.102884431,0.100589137,1.022818505,-0.1743,0.1294,0.763157895,0.933650428,0.632374894,0.981481481,0.772727273,0.481481481,0.772727273,0.061510799,0.303828449,0.051215695,0.030295016,3.636363636,2.090909091,0.09380612,-0.068583,-0.113858794,0.008496555,0.762647717,0.708056909,0.732585856,-0.059622572,0.400836759,0.06711362,-0.418102764,0.150863136,0.511987654,0.015011383,-0.013265534,-0.008254413,-0.056066909,0.065624417,0.073787193,-0.010427741,-0.045514946,0.09,0.138205128,0.109487179,0.188974359,0.092051282,0.129230769,0.114358974,0.046410256,0.024358974,0.040512821,0
